,CDRP-bio-Lasso,CDRP-bio-MLP,LUAD-Lasso,LUAD-MLP,LINCS-Lasso,LINCS-MLP,TAORF-Lasso,TAORF-MLP
HEATR1,-4.68,7.25,34.81,37.34,5.6,14.67,-1.43,-4.08
HEBP1,12.15,16.86,19.01,46.03,0.13,4.44,-1.26,-10.12
HERC6,1.82,12.61,34.47,30.85,0.94,7.72,-6.28,-3.28
HERPUD1,27.83,53.7,19.9,27.43,5.98,19.1,13.92,14.17
HES1,0.65,49.66,26.68,94.59,9.32,19.58,-10.24,-1.54
HIF1A,,,-2.39,18.13,1.57,11.91,4.53,8.88
HIST1H2BK,25.83,11.95,54.51,59.39,33.96,49.53,-1.72,0.09
HIST2H2BE,10.36,27.1,50.97,52.39,44.03,61.67,16.12,46.38
HK1,-2.04,-1.54,7.92,24.72,13.38,41.77,4.99,10.08
HLA-DMA,,,38.02,43.24,10.82,27.57,-1.3,-0.19
HLA-DRA,,,-1.97,33.33,-2.29,-1.75,6.11,6.43
HMG20B,19.89,43.07,22.41,38.27,-1.51,6.55,21.98,16.2
HMGA2,,,80.12,76.02,29.27,91.44,-3.47,-0.4
HMGCR,21.02,33.94,12.23,62.62,14.68,39.9,11.78,4.03
HMGCS1,27.26,45.59,63.14,78.87,19.72,32.0,-5.38,5.0
HMOX1,,,56.63,98.78,2.55,94.93,26.39,18.06
HN1L,-4.19,13.62,63.13,98.27,4.65,20.37,23.66,35.73
HOMER2,-1.11,7.55,7.4,31.19,2.38,13.57,-6.78,7.82
HOOK2,-1.28,-1.41,4.69,25.92,-8.79,1.08,2.73,7.61
HOXA10,27.4,31.96,16.19,25.51,9.12,20.12,-1.71,2.06
HOXA5,-2.99,14.99,17.61,41.15,0.98,23.69,-0.93,2.13
HPRT1,11.58,20.62,58.65,55.0,8.09,16.78,-0.16,11.22
HS2ST1,-3.09,3.9,8.62,29.74,-1.93,18.74,-2.08,1.34
HSD17B10,18.99,37.88,-3.48,9.59,8.1,34.32,-4.96,-1.65
HSD17B11,10.21,34.27,27.33,45.32,5.96,20.12,-4.31,8.3
HSPA1A///HSPA1B,,,36.45,49.58,19.75,55.06,1.75,-0.86
HSPA4,-8.35,1.89,-1.05,23.27,15.94,28.42,12.79,11.61
HSPA8,,,19.49,29.75,0.93,11.97,-3.81,15.71
HSPB1,,,77.31,92.64,28.69,55.8,40.18,54.58
HSPD1,,,69.56,62.63,23.59,38.34,17.92,17.25
HTATSF1,-2.91,-0.8,-7.32,40.62,8.41,21.53,4.42,1.64
HTRA1,-2.04,11.82,27.01,42.38,8.16,25.74,14.3,-2.39
HYOU1,4.05,90.15,27.06,29.61,5.48,18.7,5.02,-3.22
IARS2,25.51,23.17,-1.63,7.14,-0.94,3.69,-6.9,-0.83
ICAM1,,,7.69,9.77,6.36,21.9,-14.83,-12.68
ICAM3,-7.37,8.54,19.54,36.51,24.18,39.06,-10.76,-4.93
ICMT,2.45,50.99,39.64,59.1,0.19,29.17,12.87,28.1
ID2,-1.44,70.75,45.22,49.85,33.01,57.44,-10.23,0.13
IDE,5.84,31.68,14.31,21.08,-1.02,8.54,-6.3,-3.71
IER3,11.65,33.48,72.82,98.92,32.39,83.22,27.7,75.7
IFNAR1,,,50.42,39.17,27.83,36.5,14.6,6.89
IFRD2,8.25,9.21,38.06,49.12,11.38,25.08,-3.53,9.14
IGF1R,18.45,65.28,27.46,54.27,1.82,25.78,-3.75,11.31
IGF2BP2,,,50.73,62.66,-0.92,40.73,9.18,29.37
IGF2R,19.13,16.31,58.07,69.08,29.01,41.01,2.23,35.84
IGFBP3,,,46.21,98.6,56.35,94.14,-9.47,0.58
IGHMBP2,-2.13,6.5,21.29,12.81,12.55,23.75,-9.4,-3.15
IKBKAP,-5.19,-0.16,1.43,22.87,-3.03,4.75,-0.05,-0.27
IKBKB,-6.09,-2.97,41.93,42.28,20.62,44.73,-7.77,1.58
IKBKE,-4.17,9.49,8.7,34.27,-0.68,0.88,-2.49,-1.64
IKZF1,,,-6.79,-1.22,-1.59,-1.07,-5.55,-0.72
IL13RA1,-10.09,22.26,24.15,25.97,0.8,13.64,8.36,21.69
IL1B,,,68.9,93.29,20.05,28.31,11.88,27.89
IL4R,6.68,-4.53,54.51,73.7,19.97,49.37,3.5,13.21
ILK,29.27,97.79,57.0,97.15,7.1,12.02,-5.57,4.15
INPP1,11.94,36.07,62.34,92.86,30.04,57.75,-1.67,29.8
INPP4B,-2.01,2.16,21.63,36.17,-0.53,-0.32,-5.01,-5.7
INSIG1,20.99,14.79,4.35,46.02,25.96,40.62,13.12,42.38
INTS3,-7.17,5.6,-0.01,-0.96,5.17,13.73,-0.08,0.03
IPO13,-3.49,10.24,15.72,8.21,19.19,28.82,8.33,25.82
IQGAP1,-10.33,45.28,55.17,71.5,5.93,9.76,26.44,30.07
ISOC1,-3.48,1.51,-6.29,1.01,3.42,14.49,-0.49,2.37
ITFG1,-6.88,32.51,23.29,48.86,4.19,13.82,-0.12,1.17
ITGAE,-5.04,54.95,43.24,17.53,14.42,24.66,-5.49,-5.62
ITGB1BP1,5.18,27.37,4.43,24.12,-0.98,2.35,-5.29,-3.12
ITGB5,-1.91,5.89,-0.14,26.83,24.43,80.74,23.54,77.94
JARID1A,-4.56,28.87,28.12,35.07,2.78,30.88,-7.15,-4.39
JARID1B,18.0,48.46,15.41,6.34,10.09,34.37,-1.52,20.63
JMJD1A,-10.1,-2.48,-11.37,6.66,5.94,15.55,-1.17,-0.27
JMJD6,-7.35,32.71,1.86,17.54,12.69,33.03,-1.4,-0.7
JUN,23.52,44.24,81.81,86.77,32.05,71.59,-0.56,0.26
KCNK1,-4.22,47.82,18.97,68.52,-1.01,-0.05,9.53,11.43
KCTD5,7.76,17.32,13.8,8.55,8.84,26.29,-0.46,0.18
KDELR2,-2.6,-2.79,53.01,77.64,-4.06,5.29,-1.67,28.46
KEAP1,29.33,47.89,67.03,71.59,18.35,44.39,-9.08,6.96
KIAA0100,6.9,15.56,29.13,50.72,15.34,29.5,-3.54,11.56
KIAA0196,-7.18,7.69,29.58,46.97,2.46,19.69,2.85,5.39
KIAA0355,-1.45,5.47,-12.87,2.65,-3.81,-0.57,4.41,1.08
KIAA0409,13.66,29.41,53.65,69.53,8.87,27.67,-0.86,7.74
KIAA0494,15.49,20.4,66.61,74.61,3.93,12.83,-2.59,11.69
KIAA0528,29.26,55.38,12.48,24.81,7.12,24.14,7.88,16.75
KIAA0753,-1.09,10.59,24.65,29.72,7.68,15.65,6.68,6.8
KIAA0907,5.4,12.07,37.9,40.85,17.75,35.75,-0.13,18.09
KIAA1033,-3.13,1.51,9.36,20.89,-8.81,9.87,-7.28,-1.74
KIAA1279,30.36,40.01,41.8,57.15,7.4,14.55,-1.41,7.07
KIF14,1.98,14.03,64.15,68.72,36.45,64.8,17.07,41.16
KIF20A,23.8,43.8,49.33,62.59,8.57,27.32,-4.69,28.46
KIF2C,14.48,42.88,52.8,65.28,7.5,25.99,27.03,54.21
KIF5C,-12.44,-2.08,-1.19,0.82,7.52,16.25,-2.66,-0.58
KIT,0.21,3.46,-5.17,2.11,1.63,12.41,-8.54,0.22
KLHDC2,17.33,21.25,66.17,78.14,39.3,62.02,-4.77,11.93
KLHL21,4.0,26.22,-9.11,-6.53,1.55,4.47,1.65,-0.65
KLHL9,-3.93,5.02,-5.08,8.61,0.1,25.65,-1.84,-0.9
KTN1,-4.09,-1.33,50.59,79.02,14.47,34.92,21.37,37.12
LAGE3,4.28,20.45,-0.61,26.64,12.81,28.87,-2.34,-0.75
LAMA3,-9.5,-0.22,-3.51,98.61,14.09,39.03,-1.81,-1.25
LAP3,7.67,8.31,16.56,15.89,5.43,13.29,-9.55,-4.72
LBR,12.52,48.04,77.14,77.87,47.14,75.75,20.38,74.64
LGALS8,0.37,3.51,17.65,63.54,14.07,32.67,9.14,27.63
LGMN,-2.44,12.3,-2.05,52.71,16.01,44.98,-2.33,1.38
LIG1,22.13,42.17,40.88,67.72,21.11,42.02,37.57,75.15
LIPA,-10.9,35.47,46.58,97.78,32.02,68.74,-13.91,-0.01
LOC100133724///VDAC1,-14.09,4.14,1.42,7.16,-2.87,0.6,-2.6,-0.38
LOC284889///MIF,,,53.99,52.05,9.56,19.05,23.35,4.49
LOXL1,-6.51,1.59,-2.77,8.77,-1.37,5.55,63.25,75.22
LPAR2,-5.83,14.2,39.53,48.14,3.79,20.25,15.16,13.07
LPGAT1,-7.89,3.46,17.0,18.25,27.37,62.83,2.41,2.33
LRP10,-3.29,-1.3,63.74,66.64,19.4,54.01,-1.56,11.17
LRPAP1,6.51,33.62,29.45,35.36,9.38,35.02,-10.14,0.25
LRRC16A,-6.15,-0.54,35.82,52.53,2.36,4.44,3.68,-0.3
LRRC41,-2.01,20.23,51.54,64.28,20.18,41.9,-1.76,14.12
LSM5,-8.78,-15.89,9.51,14.86,1.98,3.0,-4.46,-0.82
LSM6,-0.29,22.52,71.73,96.31,25.55,39.6,8.69,3.11
LSR,11.77,32.36,8.97,43.49,13.94,20.22,2.77,11.87
LYN,9.7,50.16,2.09,-0.88,0.98,7.99,-5.94,5.58
LYPLA1,-4.5,1.93,29.24,21.59,13.43,24.01,11.57,24.47
LYRM1,-3.78,29.6,4.97,44.3,15.12,30.39,1.48,9.73
MACF1,20.06,19.78,17.38,42.24,9.08,23.51,-0.1,48.15
MALT1,2.43,7.74,31.47,58.19,9.83,23.12,4.06,2.39
MAMLD1,-5.15,8.5,1.88,11.3,-2.66,0.6,-3.42,-3.42
MAN2B1,-5.91,-6.6,73.01,78.97,35.08,56.18,5.57,-0.72
MAP2K5,-0.99,-2.24,-5.42,35.48,3.65,12.71,-0.97,-0.08
MAP3K4,-0.16,31.64,61.01,72.12,37.09,42.74,-1.49,17.43
MAP4K4,-1.97,-4.42,67.7,75.39,-7.85,1.16,-6.73,-5.44
MAP7,-1.05,-0.16,20.4,85.83,-6.06,6.35,-0.84,-0.88
MAPK13,8.21,17.35,-7.99,4.84,-0.87,-0.21,-5.87,-0.37
MAPK1IP1L,-31.01,19.86,21.28,41.66,10.07,41.58,0.73,0.02
MAPK9,-14.34,2.42,0.98,23.89,1.25,22.03,-0.85,1.07
MAPKAPK2,,,14.62,15.75,7.47,14.47,-4.53,2.58
MAPKAPK3,11.4,-0.38,41.29,54.58,0.11,2.48,-6.47,-1.12
MAPKAPK5,-5.41,27.87,47.94,44.57,-0.97,7.37,-0.11,0.05
MAST2,-1.08,16.96,-0.39,0.33,-2.72,24.42,-13.21,14.74
MAT2A,,,62.69,67.77,16.58,45.04,4.31,-2.8
MBNL1,30.65,70.51,-3.62,-0.66,7.53,40.0,-7.51,-0.59
MBNL2,-0.96,3.92,50.59,58.38,2.53,4.3,5.56,3.13
MBOAT7,-1.97,15.49,55.38,50.25,13.02,22.63,-2.62,-1.94
MBTPS1,1.18,18.75,7.15,29.47,20.89,37.11,-0.71,0.49
MCM3,9.57,15.28,71.1,87.68,18.77,37.39,43.93,15.27
MCOLN1,5.36,14.68,23.31,28.67,12.32,22.18,0.04,2.68
ME2,-7.02,-3.65,24.56,74.47,5.19,10.73,19.73,36.62
MEF2C,,,4.1,2.28,-0.12,21.46,-3.95,18.46
MELK,11.55,16.55,66.93,70.03,49.83,57.59,9.92,8.11
MEST,-1.22,23.99,27.61,52.86,21.35,31.71,1.87,16.57
METRN,-3.48,6.83,38.85,60.19,3.16,10.05,-11.29,1.73
MFSD10,-5.62,0.55,-1.18,44.86,7.25,16.5,15.77,27.59
MICALL1,-4.16,27.1,23.36,30.14,13.42,32.1,-1.51,8.82
MKNK1,,,30.79,54.03,9.06,12.67,9.71,14.51
MLEC,-1.12,-0.12,50.35,70.1,8.73,37.46,-7.74,11.95
MLLT11,3.28,7.71,62.75,71.6,1.43,25.85,12.39,23.85
MMP1,,,77.63,94.13,11.81,18.69,17.5,26.84
MMP2,,,37.32,45.81,12.23,30.18,-0.29,22.38
MNAT1,,,52.78,65.27,-3.21,18.52,-0.75,-0.53
MPZL1,4.57,23.57,39.04,76.3,21.99,41.62,45.09,44.75
MRPL12,-0.4,22.21,80.23,86.79,43.06,61.87,21.61,9.49
MRPL19,15.98,37.77,75.2,82.85,19.31,34.05,31.21,83.73
MRPS16,-10.44,36.8,22.77,22.91,9.44,13.03,-8.46,-6.29
MRPS2,-6.5,4.21,60.96,58.78,2.18,17.34,7.22,30.34
MSH6,2.1,22.4,43.13,35.13,25.97,37.88,13.08,4.55
MSRA,-5.94,14.64,40.12,39.98,-2.74,4.04,-0.26,-2.86
MTA1,-1.06,-3.97,9.7,22.92,-3.04,17.82,6.08,-2.21
MTERFD1,9.51,21.03,48.83,63.25,12.37,17.31,0.43,16.27
MTF2,37.44,90.07,16.6,22.33,-1.86,5.81,-0.87,0.31
MTFR1,-2.82,-1.26,14.14,18.68,-0.2,9.36,18.33,26.25
MTHFD2,-2.98,33.17,73.63,76.76,39.0,63.29,18.92,82.6
MUC1,,,10.1,16.56,-0.48,11.92,-7.43,1.96
MVP,14.78,35.95,75.97,95.13,32.28,58.54,-2.97,-0.09
MYBL2,-6.91,7.81,61.6,74.67,26.6,47.91,20.89,26.8
MYC,59.53,98.08,11.73,50.01,24.15,49.24,12.3,0.88
MYCBP,-1.91,6.38,52.31,63.46,9.67,58.99,-2.15,0.35
MYCBP2,-3.08,-0.08,25.8,41.91,6.34,45.47,-6.63,0.33
MYL9,,,75.09,91.84,4.58,25.99,10.74,-1.01
MYLK,,,6.89,4.33,4.71,14.9,-2.22,-4.31
MYO10,-5.92,-2.4,54.72,89.43,13.67,48.68,-2.05,-0.13
MYST3,23.59,32.66,-8.66,-3.21,5.84,18.78,-2.83,-1.54
MYST4,-8.87,-0.34,-0.96,-0.06,0.4,0.13,-2.98,-0.77
NARFL,-4.08,1.27,-4.45,-1.66,2.67,8.91,-10.38,-1.05
NCAPD2,10.62,28.46,43.63,46.85,13.56,34.43,11.24,32.48
NCK1,,,-8.2,-5.58,-0.91,4.27,-4.7,-3.6
NCK2,,,-13.24,-0.18,18.53,38.92,11.59,77.74
NCOA3,-14.3,15.72,-1.04,31.71,0.59,34.11,2.01,2.4
NENF,-12.96,31.89,6.89,52.07,2.15,31.55,-1.39,7.85
NET1,-5.92,23.43,73.18,87.36,13.17,49.52,-6.1,4.2
NFATC3,,,-3.49,-1.48,-1.39,-0.38,-7.86,18.68
NFATC4,,,12.16,19.5,1.4,8.64,9.12,17.71
NFE2L2,1.3,13.84,-76.03,37.31,11.03,35.85,6.11,-4.1
NFIL3,6.72,58.94,43.52,50.32,1.53,9.33,1.0,24.03
NFKB2,,,62.82,47.93,10.76,34.3,0.95,11.16
NFKBIA,,,26.94,36.08,32.07,72.63,0.05,0.06
NFKBIB,,,46.66,28.73,23.13,83.46,24.61,3.51
NFKBIE,,,45.08,63.51,12.04,30.95,2.8,12.95
NGRN,-13.4,16.4,15.95,58.17,-1.47,-0.3,-2.45,8.71
NIPSNAP1,10.81,20.71,46.85,97.07,33.69,62.04,34.12,76.59
NISCH,-5.46,15.56,8.54,28.44,16.11,27.61,16.03,16.23
NIT1,11.77,20.45,27.8,40.39,16.54,31.5,7.62,14.36
NMT1,12.58,50.04,39.11,24.73,19.79,27.89,6.2,19.42
NNT,-0.63,22.38,6.37,49.1,2.13,23.57,22.59,26.15
NOL3,-4.66,-2.27,14.7,96.7,6.19,20.49,-26.69,-34.75
NOLC1,14.36,30.87,40.84,62.36,32.67,49.06,8.79,35.91
NOS3,,,8.43,21.13,-0.63,1.83,-16.59,-0.65
NOSIP,-1.56,-1.26,6.25,45.1,-3.7,9.46,-11.38,1.25
NOTCH1,,,14.13,23.91,21.59,26.44,-0.49,0.06
NP,13.99,24.21,65.8,97.82,16.77,38.88,31.27,69.58
NPC1,30.5,53.21,47.56,66.79,29.51,74.85,36.89,66.07
NPDC1,0.21,16.1,25.36,38.15,-3.2,8.43,-7.01,-0.21
NPEPL1,-2.49,0.44,67.69,77.72,14.65,19.57,9.35,5.61
NR1H2,-11.66,20.72,10.35,29.31,6.66,16.73,-7.4,-0.94
NR2F6,20.18,56.52,9.07,11.99,10.25,21.24,-10.47,-6.56
NR3C1,13.6,4.22,17.29,42.34,2.97,10.16,-5.05,0.76
NRAS,,,11.96,34.41,11.16,26.72,4.66,29.94
NRIP1,9.53,24.84,17.62,35.22,7.41,26.3,-4.12,-0.02
NSDHL,15.83,67.34,20.81,39.62,-5.09,22.89,-1.99,-2.14
NT5DC2,-0.66,15.1,10.41,25.63,0.69,13.39,-0.74,16.3
NUCB2,-2.52,-0.89,45.03,64.57,4.63,40.69,-0.83,11.82
NUDCD3,-5.48,2.73,45.15,57.19,6.9,25.69,18.5,19.16
NUDT9,13.36,19.05,6.81,26.95,-2.62,6.0,-12.13,-17.5
NUP133,16.88,21.97,7.51,59.12,-0.43,8.19,-5.01,1.93
NUP62,6.39,70.66,19.12,62.87,39.79,50.39,27.9,11.88
NUP85,12.6,47.15,47.52,46.49,14.62,28.1,-1.06,-0.31
NUP88,-7.29,-4.36,79.71,88.98,36.44,63.95,-1.71,1.49
NUP93,-6.17,18.54,36.86,85.14,22.38,40.42,8.05,13.43
NUSAP1,24.99,42.31,68.97,71.54,6.84,9.94,-0.36,11.18
NVL,-3.07,0.38,18.42,39.53,15.63,25.91,10.75,18.06
ORC1L,-18.51,-3.62,2.72,5.97,8.97,17.07,10.02,-9.04
OXA1L,-1.64,5.07,12.64,25.0,-1.7,0.85,-4.63,-0.44
OXCT1,-12.55,40.12,23.74,28.07,7.24,29.17,12.11,24.46
OXSR1,-4.37,23.99,50.33,48.42,12.58,22.18,11.26,12.42
P4HA2,7.24,78.61,64.1,60.79,33.8,55.87,3.79,50.35
P4HTM,3.6,43.06,21.99,17.6,21.18,39.88,-1.73,-2.41
PACSIN3,6.84,26.65,20.59,56.67,-1.49,8.75,-5.37,-0.44
PAF1,8.39,35.06,22.94,13.77,10.79,27.63,-14.28,-11.27
PAFAH1B1,-6.33,19.36,53.66,83.14,15.02,27.73,30.01,50.95
PAFAH1B3,13.03,35.28,80.8,98.5,30.45,51.37,45.89,48.72
PAICS,-11.42,48.48,69.36,75.15,22.27,48.72,23.39,41.65
PAK1,,,-12.43,18.73,-1.27,-0.51,-0.63,-0.11
PAK4,3.84,39.16,57.51,74.19,9.54,39.08,-19.48,-2.42
PAK6,,,-8.4,-4.2,-1.63,2.64,-7.07,-1.12
PAN2,-12.85,1.93,34.65,40.91,4.73,16.07,-3.33,-5.36
PARP1,,,32.31,47.48,15.96,37.14,2.1,28.61
PARP2,21.28,28.28,52.44,58.93,4.95,21.4,-1.62,8.48
PAX8,10.31,28.74,8.02,27.38,1.9,5.74,12.67,14.03
PCBD1,-2.67,26.13,20.94,24.36,9.94,39.94,21.3,22.85
PCCB,-4.95,-1.12,16.34,29.54,5.22,10.73,-0.72,1.92
PCK2,22.95,59.49,43.81,46.35,26.65,57.46,-1.22,2.86
PCM1,-2.58,5.38,29.17,69.58,-5.78,11.3,12.61,15.15
PCMT1,16.96,43.49,32.13,58.44,11.97,29.43,3.88,-0.47
PCNA,,,8.93,12.54,2.95,12.43,-10.92,2.4
PDGFA,,,62.29,86.96,1.72,24.03,-5.89,-0.08
PDHX,2.37,23.58,14.05,30.08,-2.57,7.76,-1.32,-0.33
PDIA5,-3.56,-1.95,-3.71,17.09,1.85,20.79,-2.05,-9.72
PDLIM1,3.55,11.44,22.03,45.7,18.35,33.9,12.58,16.11
PDS5A,3.87,29.91,62.95,66.06,8.03,35.76,0.26,-1.06
PECR,-2.64,7.85,58.5,45.92,4.86,20.83,-1.29,-4.42
PEX11A,-9.98,-2.09,5.29,9.18,-2.08,-0.48,0.08,4.45
PFKL,,,2.12,19.29,2.97,6.5,-3.92,25.72
PGAM1,,,-0.19,-0.03,-5.36,7.42,-4.68,-4.63
PGM1,-2.43,9.18,60.58,76.8,42.94,63.18,-8.84,-0.87
PGRMC1,-0.3,43.61,72.73,92.45,7.5,29.4,39.97,46.05
PHF15,29.05,61.55,2.44,20.76,14.26,30.57,3.27,7.38
PHGDH,24.52,54.3,66.24,86.94,34.24,66.47,7.06,18.53
PHKA1,-6.94,-9.7,52.14,62.82,-1.72,12.64,-2.17,-1.42
PHKB,1.38,14.32,37.92,2.59,7.19,28.18,-0.19,16.86
PHKG2,-9.83,10.18,19.76,22.76,3.6,20.95,-0.15,0.74
PIGB,-5.02,-4.77,-1.81,13.59,-2.64,4.43,-7.58,-7.6
PIH1D1,1.21,4.15,-4.46,-1.98,3.81,13.87,-5.26,-0.78
PIK3C2B,-1.25,5.5,44.1,47.52,1.94,14.45,-0.53,0.06
PIK3C3,,,15.27,31.62,10.4,17.07,-1.31,30.48
PIK3CA,,,36.28,28.09,26.76,36.58,24.86,21.55
PIK3R3,,,43.71,41.2,7.78,30.9,-0.57,0.07
PIK3R4,,,42.88,44.59,11.07,22.56,-5.74,-2.96
PIN1,15.07,61.77,30.98,39.05,-2.34,2.35,3.24,27.05
PIP4K2B,15.59,28.06,28.33,33.01,20.64,45.51,1.04,2.79
PKIG,-7.42,26.31,4.35,13.1,-1.0,6.5,-9.16,0.16
PLA2G15,-5.98,-0.18,53.54,52.59,7.15,24.51,-0.96,-0.07
PLA2G4A,,,13.89,50.87,12.65,26.85,14.4,-1.26
PLCB3,,,9.18,26.24,6.85,23.09,-1.53,-0.41
PLEKHJ1,-6.54,12.06,3.1,41.98,3.01,23.93,-2.78,24.13
PLEKHM1,4.32,92.17,31.38,39.03,-0.44,11.96,2.85,-1.21
PLK1,,,42.07,40.01,41.28,73.8,0.15,21.23
PLOD3,-0.84,5.79,50.05,50.27,12.81,47.71,-3.57,-3.26
PLP2,-9.12,-3.56,10.5,0.66,2.06,19.84,5.72,12.05
PLS1,1.35,19.3,40.71,53.59,3.64,7.13,-3.95,-4.01
PLSCR1,-6.44,7.23,-0.72,8.17,32.16,50.34,-9.63,-0.06
PLSCR3,-2.13,-8.75,65.58,61.07,1.68,9.93,-2.92,9.47
PMAIP1,-13.06,19.05,51.9,83.55,30.09,53.86,12.45,38.45
PMM2,16.13,24.71,13.6,24.19,-1.69,8.8,9.91,0.62
PNKP,-2.44,1.57,20.29,37.7,1.89,4.85,-1.31,-1.71
POLB,8.25,33.29,70.19,73.48,1.69,8.83,-3.98,-0.94
POLD4,-11.94,-1.57,71.65,97.46,23.22,53.88,17.18,17.8
POLE2,-4.81,0.21,84.16,87.54,47.55,68.88,-0.32,19.35
POLG2,6.61,11.82,43.85,41.67,3.94,9.68,-10.77,-3.34
POLR1C,-5.27,0.3,51.76,72.29,13.6,25.31,20.1,24.82
POLR2I,2.13,13.05,8.24,19.43,7.28,11.52,-1.02,17.23
POLR2K,0.9,19.85,45.27,67.54,12.94,20.68,21.71,9.53
POLS,29.36,57.81,36.04,43.63,16.43,25.82,1.31,-1.38
POP4,18.84,13.44,74.5,77.99,27.26,54.27,5.67,10.14
PPARD,,,10.08,43.66,22.93,36.88,2.03,9.17
PPARG,-12.54,-1.16,-0.24,55.99,11.3,39.41,0.88,5.34
PPIC,-11.6,49.84,73.32,74.13,13.39,28.01,-4.46,0.01
PPIE,-15.83,37.91,70.14,78.72,6.74,21.87,-0.31,0.08
PPOX,-6.42,-1.51,23.74,31.7,5.73,13.12,3.31,0.23
PPP1R13B,,,11.41,25.87,11.99,9.8,7.38,10.78
PPP2R3C,2.18,4.44,40.52,57.55,20.61,37.69,-4.39,-0.37
PPP2R5A,1.64,2.41,59.99,63.11,9.29,24.25,-1.69,-0.82
PPP2R5E,-2.28,1.16,10.26,19.69,-0.18,8.51,-2.68,-0.26
PRAF2,-2.93,-3.23,53.3,94.17,24.17,43.55,-1.42,18.5
PRCP,-1.38,13.85,54.68,58.1,32.71,47.33,10.12,-0.24
PRKACA,-0.03,6.15,37.97,35.48,12.12,19.68,13.99,16.45
PRKAG2,,,21.9,95.92,30.41,69.4,9.47,4.04
PRKCD,-8.35,-0.4,-1.23,24.56,17.64,50.37,-8.45,87.95
PRKCH,,,-2.52,22.76,-6.22,1.56,-2.19,-5.27
PRKCQ,,,4.35,20.29,4.67,17.3,-1.77,0.21
PRKX,,,45.02,56.89,19.29,31.83,1.93,11.37
PROS1,,,-1.41,37.75,26.79,51.78,11.25,24.62
PRPF4,3.13,17.53,27.26,29.18,11.23,16.34,-0.88,1.51
PRR7,25.16,34.73,62.52,80.01,6.7,17.42,-9.85,0.08
PRSS23,3.49,13.51,85.79,99.35,45.26,69.17,-3.64,1.89
PRUNE,-1.67,18.09,63.08,83.12,-3.82,43.86,4.55,0.32
PSIP1,-18.32,32.49,61.58,59.68,19.12,21.83,-5.33,22.02
PSMB10,,,21.0,26.28,2.04,30.85,-5.45,31.99
PSMB8,,,33.21,51.31,5.94,23.28,2.59,5.44
PSMD10,-2.75,4.65,42.2,41.65,14.97,28.87,-1.67,0.45
PSMD2,,,56.93,59.81,30.96,41.6,3.62,8.56
PSMD4,,,-1.74,0.73,1.33,3.81,-3.88,0.23
PSMD9,,,-5.72,1.08,30.1,48.49,-0.04,0.19
PSME1,,,42.25,73.12,36.16,53.43,32.92,30.87
PSME2,,,44.62,49.81,31.47,44.39,2.51,4.08
PSMF1,,,20.77,55.23,15.84,19.24,14.35,23.18
PSMG1,-0.19,27.13,58.04,35.65,29.63,38.36,30.46,54.58
PSRC1,56.22,71.55,23.52,42.19,27.69,44.89,-19.17,8.03
PTGS2,,,63.96,97.41,9.97,84.06,-15.39,20.03
PTK2,-1.7,17.17,-4.56,25.75,-0.24,8.36,-0.59,3.77
PTK2B,,,22.97,27.08,28.36,35.79,18.27,36.13
PTPLAD1,-5.05,25.64,-5.16,8.02,19.32,21.73,-8.55,11.25
PTPN1,-4.53,-2.66,63.12,61.67,32.32,49.74,10.21,30.43
PTPN12,-0.16,27.38,65.38,76.66,34.03,91.0,-0.15,14.33
PTPN6,,,55.83,68.11,41.66,72.83,-4.54,12.75
PTPRC,,,38.57,35.24,18.86,27.93,9.0,18.55
PTPRF,-6.75,-6.38,59.81,97.46,28.06,40.23,11.17,13.38
PTPRK,0.3,9.07,35.11,42.96,14.53,21.7,3.03,0.01
PUF60,-15.5,27.0,2.64,-2.12,-0.87,16.03,-0.57,-12.56
PWP1,13.52,51.81,30.75,28.63,4.87,23.74,-4.75,-1.92
PXMP2,-2.81,16.74,25.06,33.36,9.43,32.52,6.15,20.16
PXN,-2.64,2.13,64.4,99.2,38.47,55.57,10.37,20.65
PYCR1,-0.35,44.72,62.03,58.75,29.33,44.28,22.12,37.79
PYGL,-1.27,27.87,24.3,55.73,5.82,19.4,-2.57,-1.84
RAB11FIP2,-26.83,0.49,-2.39,-1.07,-1.75,13.7,4.89,1.15
RAB21,27.08,29.37,18.89,55.15,0.84,9.25,-8.69,-1.3
RAB27A,6.6,47.68,23.59,47.95,21.46,33.43,-2.52,0.34
RAB31,-10.28,0.48,14.86,72.16,16.7,26.76,-4.75,2.12
RAB4A,1.7,31.04,5.21,2.09,5.54,22.26,-7.19,6.15
RAC2,,,5.8,20.97,3.34,10.33,19.88,69.26
RAD51C,8.5,26.24,47.03,51.47,9.76,18.18,-5.48,6.82
RAD9A,-6.18,17.78,45.19,60.45,13.45,30.03,-8.08,-6.26
RAE1,1.14,13.85,74.38,85.5,34.51,65.88,-3.99,0.02
RAGE,-13.18,9.79,54.43,77.69,9.46,23.71,-5.34,0.78
RAI14,2.17,20.66,63.99,78.36,9.31,23.12,-0.52,2.07
RALA,,,-0.69,30.41,19.45,22.32,20.67,26.5
RALB,,,46.68,56.53,3.85,25.17,0.53,70.92
RALGDS,,,3.36,4.5,7.32,26.18,1.61,12.26
RAP1GAP,-1.72,2.61,46.82,93.88,56.98,75.35,-3.59,-0.34
RASA1,,,2.66,35.32,7.64,9.2,-0.63,-0.18
